File,LinesCount,LinesAvgLength,LineCodeProportion,LineBlankProportion,TypesCount,ClassProportion,TraitProportion,MaxChildren,MethodCount,PrivateMethodProportion,ProtectedMethodProportion,MethodOverrideProportion,FinalMethodProportion,VarLocalCount,VarFieldCount,MagicNumbersCount
core/src/test/scala/org/apache/spark/input/WholeTextFileRecordReaderSuite.scala,151,38,0.6556291390728477,0.16556291390728478,2,0.5,0.0,1,3,0.3333333333333333,0.0,0.6666666666666666,0.0,0,2,6
core/src/test/scala/org/apache/spark/internal/config/ConfigEntrySuite.scala,397,33,0.7959697732997482,0.16624685138539042,1,1.0,0.0,1,5,0.2,0.0,0.0,0.0,0,3,5
core/src/test/scala/org/apache/spark/internal/plugin/PluginContainerSuite.scala,337,33,0.7744807121661721,0.18100890207715134,7,0.7142857142857143,0.0,2,20,0.05,0.0,0.65,0.0,1,6,4
core/src/test/scala/org/apache/spark/io/ChunkedByteBufferFileRegionSuite.scala,152,32,0.7171052631578947,0.16447368421052633,2,1.0,0.0,1,6,0.16666666666666666,0.3333333333333333,0.8333333333333334,0.0,0,3,11
core/src/test/scala/org/apache/spark/io/CompressionCodecSuite.scala,151,34,0.7549668874172185,0.1456953642384106,1,1.0,0.0,1,2,0.5,0.0,0.0,0.0,0,0,1
core/src/test/scala/org/apache/spark/launcher/LauncherBackendSuite.scala,83,31,0.6265060240963856,0.1927710843373494,2,0.5,0.0,1,2,0.5,0.0,0.0,0.0,0,0,1
core/src/test/scala/org/apache/spark/memory/MemoryManagerSuite.scala,310,46,0.7032258064516129,0.13870967741935483,2,0.0,0.5,1,7,0.14285714285714285,0.7142857142857143,0.14285714285714285,0.0,0,0,43
core/src/test/scala/org/apache/spark/memory/MemoryTestingUtils.scala,40,35,0.475,0.1,1,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0,0,0
core/src/test/scala/org/apache/spark/memory/TestMemoryManager.scala,126,30,0.6904761904761905,0.14285714285714285,1,1.0,0.0,1,12,0.0,0.0,0.4166666666666667,0.0,0,2,0
core/src/test/scala/org/apache/spark/memory/UnifiedMemoryManagerSuite.scala,344,43,0.8662790697674418,0.08430232558139535,1,1.0,0.0,1,2,0.5,0.5,0.5,0.0,0,0,42
core/src/test/scala/org/apache/spark/metrics/InputOutputMetricsSuite.scala,419,34,0.7828162291169452,0.15990453460620524,5,1.0,0.0,1,21,0.19047619047619047,0.0,0.7619047619047619,0.0,0,7,10
core/src/test/scala/org/apache/spark/metrics/MetricsConfigSuite.scala,167,43,0.7604790419161677,0.1497005988023952,1,1.0,0.0,1,1,1.0,0.0,0.0,0.0,0,1,0
core/src/test/scala/org/apache/spark/metrics/sink/StatsdSinkSuite.scala,160,34,0.79375,0.1125,1,1.0,0.0,1,2,0.5,0.0,0.5,0.0,0,0,5
core/src/test/scala/org/apache/spark/network/netty/NettyBlockTransferSecuritySuite.scala,175,35,0.7714285714285715,0.12,1,1.0,0.0,1,4,0.5,0.0,0.5,0.0,0,0,1
core/src/test/scala/org/apache/spark/network/netty/NettyBlockTransferServiceSuite.scala,150,36,0.76,0.14,1,1.0,0.0,1,7,0.2857142857142857,0.0,0.7142857142857143,0.0,0,4,3
core/src/test/scala/org/apache/spark/rdd/AsyncRDDActionsSuite.scala,238,29,0.7478991596638656,0.15546218487394958,1,1.0,0.0,1,6,0.16666666666666666,0.0,0.6666666666666666,0.0,0,2,29
core/src/test/scala/org/apache/spark/rdd/CoalescedRDDBenchmark.scala,81,34,0.5308641975308642,0.12345679012345678,1,0.0,0.0,1,3,0.6666666666666666,0.0,0.3333333333333333,0.0,0,0,10
core/src/test/scala/org/apache/spark/rdd/LocalCheckpointSuite.scala,333,37,0.7507507507507507,0.11411411411411411,1,1.0,0.0,1,7,0.8571428571428571,0.0,0.14285714285714285,0.0,0,0,7
core/src/test/scala/org/apache/spark/rdd/PairRDDFunctionsSuite.scala,1028,34,0.8190661478599222,0.14591439688715954,18,0.7777777777777778,0.0,2,57,0.0,0.0,0.2807017543859649,0.0,0,5,47
