Issue Type,Issue key,Issue id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,SPARK-33546,13342488,CREATE TABLE LIKE should resolve hive serde correctly like CREATE TABLE,cloud_fan,cloud_fan,Major,Resolved,Fixed,25/Nov/20 01:25,14/Dec/20 08:27,
Bug,SPARK-31170,13292104,Spark Cli does not respect hive-site.xml and spark.sql.warehouse.dir,Qin Yao,Qin Yao,Major,Resolved,Fixed,17/Mar/20 03:45,11/Dec/20 00:31,
Bug,SPARK-32110,13313682,-0.0 vs 0.0 is inconsistent,cloud_fan,revans2,Major,Resolved,Fixed,26/Jun/20 20:02,10/Dec/20 16:56,
Bug,SPARK-32680,13323913,CTAS with V2 catalog wrongly accessed unresolved query,linhongliu-db,linhongliu-db,Major,Resolved,Fixed,21/Aug/20 08:47,08/Dec/20 03:45,
Bug,SPARK-33611,13343332,Decode Query parameters of the redirect URL for reverse proxy,Gengliang.Wang,Gengliang.Wang,Major,Resolved,Fixed,30/Nov/20 14:57,01/Dec/20 17:37,
Bug,SPARK-32763,13325471,DiskStore can remove block from blockSizes even if block is not removed from disk,,abhishek_tiwari,Minor,Resolved,Not A Problem,01/Sep/20 07:57,30/Nov/20 15:54,
Bug,SPARK-32569,13321586,Gaussian can not handle data close to MaxDouble,,thaar,Major,Resolved,Won't Fix,07/Aug/20 20:52,30/Nov/20 15:51,
Bug,SPARK-33568,13342752,install coverage for pypy3,shaneknapp,shaneknapp,Major,Resolved,Fixed,26/Nov/20 04:38,26/Nov/20 19:30,
Bug,SPARK-33494,13341657,Do not use local shuffle reader for repartition,cloud_fan,cloud_fan,Major,Resolved,Fixed,19/Nov/20 19:19,25/Nov/20 02:02,
Bug,SPARK-33528,13342297,File/Directory does not exist,,zengxl,Major,Resolved,Not A Problem,24/Nov/20 08:16,24/Nov/20 10:21,
Bug,SPARK-32168,13314947,DSv2 SQL overwrite incorrectly uses static plan with hidden partitions,rdblue,rdblue,Blocker,Resolved,Fixed,03/Jul/20 20:45,24/Nov/20 00:06,
Bug,SPARK-31450,13298503,Make ExpressionEncoder thread safe,hvanhovell,hvanhovell,Major,Resolved,Fixed,15/Apr/20 08:36,16/Nov/20 20:16,
Bug,SPARK-33260,13337398,SortExec produces incorrect results if sortOrder is a Stream,ankurd,ankurd,Major,Resolved,Fixed,27/Oct/20 11:00,16/Nov/20 05:50,
Bug,SPARK-33358,13338987,Spark SQL CLI command processing loop can't exit while one comand fail,artiship,artiship,Critical,Resolved,Fixed,05/Nov/20 09:57,16/Nov/20 05:50,
Bug,SPARK-33339,13338796,Pyspark application will hang due to non Exception,lrz,lrz,Major,Resolved,Fixed,04/Nov/20 09:39,13/Nov/20 02:55,
Bug,SPARK-33404,13339626,"""date_trunc"" expression returns incorrect results",utkarsh39,utkarsh39,Major,Resolved,Fixed,09/Nov/20 23:42,11/Nov/20 22:46,
Bug,SPARK-33412,13339742,OverwriteByExpression should resolve its delete condition based on the table relation not the input query,cloud_fan,cloud_fan,Major,Resolved,Fixed,10/Nov/20 12:42,11/Nov/20 13:51,
Bug,SPARK-33359,13339023,foreachBatch sink outputs wrong metrics,,meetwes,Minor,Resolved,Not A Problem,05/Nov/20 13:58,05/Nov/20 22:47,
Bug,SPARK-33362,13339033,skipSchemaResolution should still require query to be resolved,cloud_fan,cloud_fan,Major,Resolved,Fixed,05/Nov/20 14:56,05/Nov/20 17:24,
Bug,SPARK-33300,13338037,Rule SimplifyCasts will not work for nested columns,,tobe,Minor,Resolved,Not A Bug,30/Oct/20 09:13,04/Nov/20 02:58,
Bug,SPARK-33284,13337827,"In the Storage UI page, clicking any field to sort the table will cause the header content to be lost",echohlne,echohlne,Major,Resolved,Fixed,29/Oct/20 08:14,03/Nov/20 14:51,
Bug,SPARK-33279,13337796,Spark 3.0 failure due to lack of Arrow dependency,,fan_li_ya,Major,Closed,Not A Problem,29/Oct/20 04:06,02/Nov/20 06:13,
Bug,SPARK-33313,13338318,R/run-tests.sh is not compatible with testthat >= 3.0,zero323,zero323,Major,Resolved,Fixed,01/Nov/20 21:07,02/Nov/20 02:10,
Bug,SPARK-33240,13337131,Fail fast when fails to instantiate configured v2 session catalog,kabhwan,kabhwan,Major,Resolved,Fixed,26/Oct/20 05:23,28/Oct/20 04:56,
Bug,SPARK-26680,13210853,StackOverflowError if Stream passed to groupBy,bersprockets,bersprockets,Major,Resolved,Fixed,21/Jan/19 23:48,27/Oct/20 11:02,
Bug,SPARK-33232,13336986,ConcurrentAppendException while updating delta lake table,,KhangPham,Major,Resolved,Invalid,23/Oct/20 20:35,24/Oct/20 02:11,
